title	contributor	date original	description	format	language	publisher	rights	rights uri	type	type genre	identifier	osu.filename
American Labor...Producing for Attack	United States. War Production Board	1943	Bronze statue of a worker.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p1	oksa_1972-002f1p1.jpg
Know Your Oxygen!	United States. Army Air Forces. Training Aids Division; United States. Army Air Forces. Office of Flying Safety	10/20/1943	Man with anoxia, accompanied by a limerick. Air Poster No. API-5050, sheet no. 5 of 5.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p10	oksa_1972-002f1p10.jpg
Doctors Are Scarce--Learn First Aid & Home Nursing	United States. Office of War Information; United States. Office of Civil Defense; American National Red Cross	1943	"""One out of three [doctors] has gone to war--Be Prepared--for minor injury--for minor illness."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Text	posters	oksa_1972-002f1p11	oksa_1972-002f1p11.jpg
Christmas Overseas Gifts--Mail Between Sept. 15 - Oct. 15	United States. Army. Recruiting Publicity Bureau; United States. Army. Postal Service; United States. Navy. Postal Service; Graves	1945	Santa Claus in an army helmet, holding a package for a soldier.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p2	oksa_1972-002f1p2.jpg
This Is the Enemy	United States. Office of War Information	1943	Nazi hand driving a knife through the Holy Bible.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p3	oksa_1972-002f1p3.jpg
Who Cares About Oxygen?--You Do	United States. Army Air Forces. Training Aids Division; United States. Army Air Forces. Office of Flying Safety	10/20/1943	"Hand reaching for an oxygen mask. ""Check with your oxygen officer."" Air Poster No. API-5050, sheet no. 2 of 5."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p4	oksa_1972-002f1p4.jpg
"""What's It Like Up There?""--""Ask Your Oxygen Officer"""	United States. Army Air Forces. Training Aids Division; United States. Army Air Forces. Office of Flying Safety; Kane	10/20/1943	Ring master asking a clown on stilts about the quality of air. Air Poster No. API-5050, sheet no. 1 of 5.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p5	oksa_1972-002f1p5.jpg
To Every Ordnance Worker--From the Chief of Ordnance	United States. War Department; United States. Army. Ordnance Department	1942	"Letter to ordnance workers, emphasizing their responsibility, from Major General C. M. Wesson, the Chief of Ordnance for the U.S. Army. ""Keep 'em Shooting!"""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Text	posters	oksa_1972-002f1p6	oksa_1972-002f1p6.jpg
Altitude Is Safe--If You Know What You're Doing--...Ask Your Oxygen Officer	United States. Army Air Forces. Training Aids Division; United States. Army Air Forces. Office of Flying Safety; Kane	10/20/1943	Man balancing on a tightrope above buildings. Air Poster No. API-5050, sheet no. 3 of 5.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p7	oksa_1972-002f1p7.jpg
Check with Your Oxygen Officer	United States. Army Air Forces. Training Aids Division; United States. Army Air Forces. Office of Flying Safety; Kane	10/20/1943	"Order from the War Department with an oxygen mask beside it. ""Immediate Action--War Department--Subject: Life--To: All concer-."" Air Poster No. API-5050, sheet no. 4 of 5."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p8	oksa_1972-002f1p8.jpg
