objectid,title,creator,date,description,format,language,publisher,rights,rightsstatement,type,type_genre,source,oclc number,date created,date modified,reference_url,cdmid,contentdm file name, contentdm file path
0,Of Course I Can!--I'm Patriotic as Can Be--and Ration Points Won't Worry Me!,"United States. War Food Administration; United States. Department of Agriculture. Office of Information; United States. Office of War Information; Williams, Dick",1944,A woman with her arms full of self-canned foods. On the reverse side is a letter encouraging the recipient to display the poster.,application/pdf,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p37,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/196,196,198.pdf,/WW2Posters/image/198.pdf
1,I Need You on the Job Full Time...--Don't Get Hurt,"United States. War Department. Safety Council; Meyers, Harry Morse",1943,A soldier in battle with a gun.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f6p2,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/197,197,280.jp2,/WW2Posters/image/280.jp2
2,"Americanism Is Not, and Never Was, a Matter of Race or Ancestry",United States. Office of War Information; United States. President (1933-1945 : Roosevelt),1943,"An address by the President on Feb. 3, 1943. An eagle and American Flag are at the top.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Text,posters,World War II Posters,oksa_1972-002f8p5,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/198,198,204.jp2,/WW2Posters/image/204.jp2
3,Put Your Muscle on a War Basis!--Sign up for a Farm Job,United States. War Manpower Commission,1942,Young man forking hay.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f4p11,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/199,199,334.jp2,/WW2Posters/image/334.jp2
4,Join Us on the Farm Front!,National Victory Farm Volunteers (U.S.); United States. Crop Corps,1944,"Two kids with farming tools. ""Be a Victory Farm Volunteer of the U. S. Crop Corps.""",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f4p3,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/200,200,228.jp2,/WW2Posters/image/228.jp2
5,Christmas Overseas Gifts--Mail Between Sept. 15 - Oct. 15,United States. Army. Recruiting Publicity Bureau; United States. Army. Postal Service; United States. Navy. Postal Service; Graves,1945,"Santa Claus in an army helmet, holding a package for a soldier.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f1p2,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/201,201,267.jp2,/WW2Posters/image/267.jp2
6,You Are Needed Now--Join the Army Nurse Corps,"Green, Ruzzie",1943-06,"Headshot of woman from the Army Nurse Corps. ""Apply at your Red Cross recruiting station.""",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f2p3,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/202,202,300.jp2,/WW2Posters/image/300.jp2
7,Save Waste Fats for Explosives--Take Them to Your Meat Dealer,"United States. Office of War Information; Koerner, Henry",1943,"Fat draining from a frying pan, fueling the fire of bombs.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p9,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/203,203,291.jp2,/WW2Posters/image/291.jp2
8,Use It Up--Wear It Out--Make It Do!--Our Labor and Our Goods Are Fighting,United States. Office of War Information,1943,A woman mending a patch in a man's pants while he fixes a lawn mower.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p36,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/204,204,225.jp2,/WW2Posters/image/225.jp2
9,Is Your Trip Necessary?--Needless Travel Interferes with the War Effort,United States. Office of Defense Transportation; United States. Office of War Information,1943,A crowded train car of soldiers and civilians.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p30,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/205,205,235.jp2,/WW2Posters/image/235.jp2
